"","det_id","perp_id","det_start","det_end","det_start_year","det_end_year","det_vulnerable_population","det_age_range","det_gender","det_status","det_violation","det_related_penal_facilities","det_province_penal_facility","det_penal_facility_affiliation","det_type_of_penal_facility","det_event","detainee_number","perp_nationality","perp_organisational_affiliation","perp_age_range","perp_rank","perp_related_penal_facility","perp_affiliated_province","perp_type_of_penal_facility","det_vulnerable_population_bi","det_violation_cl","Deprivation of Liberty","Sexual Violence","Torture","Freedom of Expression","Health","Fair Trial","Conscience and Religion","Forced Labor","Children","Life","Disability"
"571","det-A1869","perp-A1879","01/03/2006","30/09/2010",2006,2010,"Women","30-39","Female","Released from all facilities","Arbitrary Deprivation of Liberty_A1869|Violation of Right to Health_1_A1869|Violation of Freedom of Expression_1_A1869|Violation of Right to Health_2_A1869|Violation of Freedom of Expression_2_A1869|Violation of Right to Health_3_A1869|Forced Labour_1_A1869|Violation of the Right to a Fair Trial_A1869|Forced Labour_2_A1869|Torture & CID_1_A1869|Torture & CID_2_A1869|Torture & CID_3_A1869|Torture & CID_4_A1869","Sinuiju City Labour Training Centre|Sinuiju City MSS Detention Centre|Chongori Re-education Camp|Onsong County MSS Detention Centre","North Pyongan|North Pyongan|North Hamgyong|North Hamgyong","People's Committee of North Korea|Ministry of State Security|Ministry of People's Security|Ministry of State Security","Labour Training Centre|Detention Centre|Re-education Camp |Detention Centre",1,1,"North Korean","Ministry of People’s Security","40-49","Senior Lieutenant (sangwi)","Chongori Re-education Camp","North Hamgyong","Re-education Camp",1,"Arbitrary Deprivation of Liberty|Violation of Right to Health|Violation of Freedom of Expression|Violation of Right to Health|Violation of Freedom of Expression|Violation of Right to Health|Forced Labour|Violation of the Right to a Fair Trial|Forced Labour|Torture & CID|Torture & CID|Torture & CID|Torture & CID",1,0,1,1,1,1,0,1,0,0,0
"572","det-A1869","perp-A1878","01/03/2006","30/09/2010",2006,2010,"Women","30-39","Female","Released from all facilities","Arbitrary Deprivation of Liberty_A1869|Violation of Right to Health_1_A1869|Violation of Freedom of Expression_1_A1869|Violation of Right to Health_2_A1869|Violation of Freedom of Expression_2_A1869|Violation of Right to Health_3_A1869|Forced Labour_1_A1869|Violation of the Right to a Fair Trial_A1869|Forced Labour_2_A1869|Torture & CID_1_A1869|Torture & CID_2_A1869|Torture & CID_3_A1869|Torture & CID_4_A1869","Sinuiju City Labour Training Centre|Sinuiju City MSS Detention Centre|Chongori Re-education Camp|Onsong County MSS Detention Centre","North Pyongan|North Pyongan|North Hamgyong|North Hamgyong","People's Committee of North Korea|Ministry of State Security|Ministry of People's Security|Ministry of State Security","Labour Training Centre|Detention Centre|Re-education Camp |Detention Centre",1,1,"North Korean","Ministry of People’s Security","50-59","Captain (taewi)","Chongori Re-education Camp","North Hamgyong","Re-education Camp",1,"Arbitrary Deprivation of Liberty|Violation of Right to Health|Violation of Freedom of Expression|Violation of Right to Health|Violation of Freedom of Expression|Violation of Right to Health|Forced Labour|Violation of the Right to a Fair Trial|Forced Labour|Torture & CID|Torture & CID|Torture & CID|Torture & CID",1,0,1,1,1,1,0,1,0,0,0
"573","det-A1869","perp-A1876","01/03/2006","30/09/2010",2006,2010,"Women","30-39","Female","Released from all facilities","Arbitrary Deprivation of Liberty_A1869|Violation of Right to Health_1_A1869|Violation of Freedom of Expression_1_A1869|Violation of Right to Health_2_A1869|Violation of Freedom of Expression_2_A1869|Violation of Right to Health_3_A1869|Forced Labour_1_A1869|Violation of the Right to a Fair Trial_A1869|Forced Labour_2_A1869|Torture & CID_1_A1869|Torture & CID_2_A1869|Torture & CID_3_A1869|Torture & CID_4_A1869","Sinuiju City Labour Training Centre|Sinuiju City MSS Detention Centre|Chongori Re-education Camp|Onsong County MSS Detention Centre","North Pyongan|North Pyongan|North Hamgyong|North Hamgyong","People's Committee of North Korea|Ministry of State Security|Ministry of People's Security|Ministry of State Security","Labour Training Centre|Detention Centre|Re-education Camp |Detention Centre",1,1,"North Korean","Ministry of State Security","Unknown","Senior Lieutenant (sangwi)","Sinuiju City MSS Detention Centre","North Pyongan","Detention Centre",1,"Arbitrary Deprivation of Liberty|Violation of Right to Health|Violation of Freedom of Expression|Violation of Right to Health|Violation of Freedom of Expression|Violation of Right to Health|Forced Labour|Violation of the Right to a Fair Trial|Forced Labour|Torture & CID|Torture & CID|Torture & CID|Torture & CID",1,0,1,1,1,1,0,1,0,0,0
"574","det-A1869","perp-A1875","01/03/2006","30/09/2010",2006,2010,"Women","30-39","Female","Released from all facilities","Arbitrary Deprivation of Liberty_A1869|Violation of Right to Health_1_A1869|Violation of Freedom of Expression_1_A1869|Violation of Right to Health_2_A1869|Violation of Freedom of Expression_2_A1869|Violation of Right to Health_3_A1869|Forced Labour_1_A1869|Violation of the Right to a Fair Trial_A1869|Forced Labour_2_A1869|Torture & CID_1_A1869|Torture & CID_2_A1869|Torture & CID_3_A1869|Torture & CID_4_A1869","Sinuiju City Labour Training Centre|Sinuiju City MSS Detention Centre|Chongori Re-education Camp|Onsong County MSS Detention Centre","North Pyongan|North Pyongan|North Hamgyong|North Hamgyong","People's Committee of North Korea|Ministry of State Security|Ministry of People's Security|Ministry of State Security","Labour Training Centre|Detention Centre|Re-education Camp |Detention Centre",1,1,"North Korean","Ministry of State Security","30-39","Captain (taewi)","Sinuiju City MSS Detention Centre","North Pyongan","Detention Centre",1,"Arbitrary Deprivation of Liberty|Violation of Right to Health|Violation of Freedom of Expression|Violation of Right to Health|Violation of Freedom of Expression|Violation of Right to Health|Forced Labour|Violation of the Right to a Fair Trial|Forced Labour|Torture & CID|Torture & CID|Torture & CID|Torture & CID",1,0,1,1,1,1,0,1,0,0,0
"575","det-A1781","perp-A1787","01/11/2007","30/04/2011",2007,2011,"Women|Pregnant Women","30-39","Female","Released from all facilities","Arbitrary Deprivation of Liberty_A1781|Violation of Freedom of Expression_1_A1781|Violation of Freedom of Expression_2_A1781|Violation of Freedom of Expression_3_A1781|Violation of Right to Health_1_A1781|Violation of Right to Health_2_A1781|Violation of Right to Health_3_A1781|Violation of the Right to Freedom of Conscience, Thought and Religion_A1781|Violation of the Right to a Fair Trial_A1781|Forced Labour_A1781|Torture & CID_1_A1781|Torture & CID_2_A1781|Torture & CID_3_A1781|Sexual and Gender-based Violence_A1781","Chongori Re-education Camp|Kyongwon (Saebyul) County MSS Detention Centre|Kyongwon (Saebyul) County MPS Detention Centre","North Hamgyong|North Hamgyong|North Hamgyong","Ministry of People's Security|Ministry of State Security|Ministry of People's Security","Re-education Camp |Detention Centre|Detention Centre",1,1,"North Korean","Ministry of People’s Security","40-49","Senior Lieutenant (sangwi)","Chongori Re-education Camp","North Hamgyong","Re-education Camp",1,"Arbitrary Deprivation of Liberty|Violation of Freedom of Expression|Violation of Freedom of Expression|Violation of Freedom of Expression|Violation of Right to Health|Violation of Right to Health|Violation of Right to Health|Violation of the Right to Freedom of Conscience, Thought and Religion|Violation of the Right to a Fair Trial|Forced Labour|Torture & CID|Torture & CID|Torture & CID|Sexual and Gender-based Violence",1,1,1,1,1,1,1,1,0,0,0
"576","det-A1781","perp-A1786","01/11/2007","30/04/2011",2007,2011,"Women|Pregnant Women","30-39","Female","Released from all facilities","Arbitrary Deprivation of Liberty_A1781|Violation of Freedom of Expression_1_A1781|Violation of Freedom of Expression_2_A1781|Violation of Freedom of Expression_3_A1781|Violation of Right to Health_1_A1781|Violation of Right to Health_2_A1781|Violation of Right to Health_3_A1781|Violation of the Right to Freedom of Conscience, Thought and Religion_A1781|Violation of the Right to a Fair Trial_A1781|Forced Labour_A1781|Torture & CID_1_A1781|Torture & CID_2_A1781|Torture & CID_3_A1781|Sexual and Gender-based Violence_A1781","Chongori Re-education Camp|Kyongwon (Saebyul) County MSS Detention Centre|Kyongwon (Saebyul) County MPS Detention Centre","North Hamgyong|North Hamgyong|North Hamgyong","Ministry of People's Security|Ministry of State Security|Ministry of People's Security","Re-education Camp |Detention Centre|Detention Centre",1,1,"North Korean","Ministry of People’s Security","20-29","Lieutenant (jungwi)","Chongori Re-education Camp","North Hamgyong","Re-education Camp",1,"Arbitrary Deprivation of Liberty|Violation of Freedom of Expression|Violation of Freedom of Expression|Violation of Freedom of Expression|Violation of Right to Health|Violation of Right to Health|Violation of Right to Health|Violation of the Right to Freedom of Conscience, Thought and Religion|Violation of the Right to a Fair Trial|Forced Labour|Torture & CID|Torture & CID|Torture & CID|Sexual and Gender-based Violence",1,1,1,1,1,1,1,1,0,0,0
"577","det-A1781","perp-A1785","01/11/2007","30/04/2011",2007,2011,"Women|Pregnant Women","30-39","Female","Released from all facilities","Arbitrary Deprivation of Liberty_A1781|Violation of Freedom of Expression_1_A1781|Violation of Freedom of Expression_2_A1781|Violation of Freedom of Expression_3_A1781|Violation of Right to Health_1_A1781|Violation of Right to Health_2_A1781|Violation of Right to Health_3_A1781|Violation of the Right to Freedom of Conscience, Thought and Religion_A1781|Violation of the Right to a Fair Trial_A1781|Forced Labour_A1781|Torture & CID_1_A1781|Torture & CID_2_A1781|Torture & CID_3_A1781|Sexual and Gender-based Violence_A1781","Chongori Re-education Camp|Kyongwon (Saebyul) County MSS Detention Centre|Kyongwon (Saebyul) County MPS Detention Centre","North Hamgyong|North Hamgyong|North Hamgyong","Ministry of People's Security|Ministry of State Security|Ministry of People's Security","Re-education Camp |Detention Centre|Detention Centre",1,1,"North Korean","Ministry of People’s Security","20-29","Junior Lieutenant (sowi)","Chongori Re-education Camp","North Hamgyong","Re-education Camp",1,"Arbitrary Deprivation of Liberty|Violation of Freedom of Expression|Violation of Freedom of Expression|Violation of Freedom of Expression|Violation of Right to Health|Violation of Right to Health|Violation of Right to Health|Violation of the Right to Freedom of Conscience, Thought and Religion|Violation of the Right to a Fair Trial|Forced Labour|Torture & CID|Torture & CID|Torture & CID|Sexual and Gender-based Violence",1,1,1,1,1,1,1,1,0,0,0
"578","det-A1781","perp-A1783","01/11/2007","30/04/2011",2007,2011,"Women|Pregnant Women","30-39","Female","Released from all facilities","Arbitrary Deprivation of Liberty_A1781|Violation of Freedom of Expression_1_A1781|Violation of Freedom of Expression_2_A1781|Violation of Freedom of Expression_3_A1781|Violation of Right to Health_1_A1781|Violation of Right to Health_2_A1781|Violation of Right to Health_3_A1781|Violation of the Right to Freedom of Conscience, Thought and Religion_A1781|Violation of the Right to a Fair Trial_A1781|Forced Labour_A1781|Torture & CID_1_A1781|Torture & CID_2_A1781|Torture & CID_3_A1781|Sexual and Gender-based Violence_A1781","Chongori Re-education Camp|Kyongwon (Saebyul) County MSS Detention Centre|Kyongwon (Saebyul) County MPS Detention Centre","North Hamgyong|North Hamgyong|North Hamgyong","Ministry of People's Security|Ministry of State Security|Ministry of People's Security","Re-education Camp |Detention Centre|Detention Centre",1,1,"North Korean","Ministry of State Security","20-29","Corporal (junggup byongsa)","Kyongwon (Saebyul) County MSS Detention Centre","North Hamgyong","Detention Centre",1,"Arbitrary Deprivation of Liberty|Violation of Freedom of Expression|Violation of Freedom of Expression|Violation of Freedom of Expression|Violation of Right to Health|Violation of Right to Health|Violation of Right to Health|Violation of the Right to Freedom of Conscience, Thought and Religion|Violation of the Right to a Fair Trial|Forced Labour|Torture & CID|Torture & CID|Torture & CID|Sexual and Gender-based Violence",1,1,1,1,1,1,1,1,0,0,0
"579","det-A1781","perp-A1782","01/11/2007","30/04/2011",2007,2011,"Women|Pregnant Women","30-39","Female","Released from all facilities","Arbitrary Deprivation of Liberty_A1781|Violation of Freedom of Expression_1_A1781|Violation of Freedom of Expression_2_A1781|Violation of Freedom of Expression_3_A1781|Violation of Right to Health_1_A1781|Violation of Right to Health_2_A1781|Violation of Right to Health_3_A1781|Violation of the Right to Freedom of Conscience, Thought and Religion_A1781|Violation of the Right to a Fair Trial_A1781|Forced Labour_A1781|Torture & CID_1_A1781|Torture & CID_2_A1781|Torture & CID_3_A1781|Sexual and Gender-based Violence_A1781","Chongori Re-education Camp|Kyongwon (Saebyul) County MSS Detention Centre|Kyongwon (Saebyul) County MPS Detention Centre","North Hamgyong|North Hamgyong|North Hamgyong","Ministry of People's Security|Ministry of State Security|Ministry of People's Security","Re-education Camp |Detention Centre|Detention Centre",1,1,"North Korean","Ministry of State Security","40-49","Senior Lieutenant (sangwi)","Kyongwon (Saebyul) County MSS Detention Centre","North Hamgyong","Detention Centre",1,"Arbitrary Deprivation of Liberty|Violation of Freedom of Expression|Violation of Freedom of Expression|Violation of Freedom of Expression|Violation of Right to Health|Violation of Right to Health|Violation of Right to Health|Violation of the Right to Freedom of Conscience, Thought and Religion|Violation of the Right to a Fair Trial|Forced Labour|Torture & CID|Torture & CID|Torture & CID|Sexual and Gender-based Violence",1,1,1,1,1,1,1,1,0,0,0
"580","det-A1781","perp-A0026","01/11/2007","30/04/2011",2007,2011,"Women|Pregnant Women","30-39","Female","Released from all facilities","Arbitrary Deprivation of Liberty_A1781|Violation of Freedom of Expression_1_A1781|Violation of Freedom of Expression_2_A1781|Violation of Freedom of Expression_3_A1781|Violation of Right to Health_1_A1781|Violation of Right to Health_2_A1781|Violation of Right to Health_3_A1781|Violation of the Right to Freedom of Conscience, Thought and Religion_A1781|Violation of the Right to a Fair Trial_A1781|Forced Labour_A1781|Torture & CID_1_A1781|Torture & CID_2_A1781|Torture & CID_3_A1781|Sexual and Gender-based Violence_A1781","Chongori Re-education Camp|Kyongwon (Saebyul) County MSS Detention Centre|Kyongwon (Saebyul) County MPS Detention Centre","North Hamgyong|North Hamgyong|North Hamgyong","Ministry of People's Security|Ministry of State Security|Ministry of People's Security","Re-education Camp |Detention Centre|Detention Centre",1,2,"North Korean","Ministry of People’s Security","20-29","Lieutenant (jungwi)","Chongori Re-education Camp","North Hamgyong","Re-education Camp",1,"Arbitrary Deprivation of Liberty|Violation of Freedom of Expression|Violation of Freedom of Expression|Violation of Freedom of Expression|Violation of Right to Health|Violation of Right to Health|Violation of Right to Health|Violation of the Right to Freedom of Conscience, Thought and Religion|Violation of the Right to a Fair Trial|Forced Labour|Torture & CID|Torture & CID|Torture & CID|Sexual and Gender-based Violence",1,1,1,1,1,1,1,1,0,0,0
"581","det-A1840","perp-A1842","10/10/2003","30/11/2003",2003,2003,"Women","30-39","Female","Released from all facilities","Arbitrary Deprivation of Liberty_A1840|Violation of the Right to Freedom of Conscience, Thought and Religion_2_A1840|Violation of Right to Health_2_A1840|Violation of Freedom of Expression_2_A1840|Violation of Right to Health_1_A1840|Violation of Freedom of Expression_1_A1840|Violation of the Right to a Fair Trial_A1840|Violation of the Right to Freedom of Conscience, Thought and Religion_1_A1840|Forced Labour_A1840|Torture & CID_1_A1840|Torture & CID_2_A1840","Hoeryong City MSS Detention Centre|North Hamgyong Provincial MPS Holding Centre (Nongpo)","North Hamgyong|North Hamgyong","Ministry of State Security|Ministry of People's Security","Detention Centre|Holding Centre",1,1,"North Korean","Ministry of People’s Security","20-29","Unknown","North Hamgyong Provincial MPS Holding Centre (Nongpo)","North Hamgyong","Holding Centre",1,"Arbitrary Deprivation of Liberty|Violation of the Right to Freedom of Conscience, Thought and Religion|Violation of Right to Health|Violation of Freedom of Expression|Violation of Right to Health|Violation of Freedom of Expression|Violation of the Right to a Fair Trial|Violation of the Right to Freedom of Conscience, Thought and Religion|Forced Labour|Torture & CID|Torture & CID",1,0,1,1,1,1,1,1,0,0,0
"582","det-A1840","perp-A1841","10/10/2003","30/11/2003",2003,2003,"Women","30-39","Female","Released from all facilities","Arbitrary Deprivation of Liberty_A1840|Violation of the Right to Freedom of Conscience, Thought and Religion_2_A1840|Violation of Right to Health_2_A1840|Violation of Freedom of Expression_2_A1840|Violation of Right to Health_1_A1840|Violation of Freedom of Expression_1_A1840|Violation of the Right to a Fair Trial_A1840|Violation of the Right to Freedom of Conscience, Thought and Religion_1_A1840|Forced Labour_A1840|Torture & CID_1_A1840|Torture & CID_2_A1840","Hoeryong City MSS Detention Centre|North Hamgyong Provincial MPS Holding Centre (Nongpo)","North Hamgyong|North Hamgyong","Ministry of State Security|Ministry of People's Security","Detention Centre|Holding Centre",1,1,"North Korean","Ministry of State Security","40-49","Unknown","Hoeryong City MSS Detention Centre","North Hamgyong","Detention Centre",1,"Arbitrary Deprivation of Liberty|Violation of the Right to Freedom of Conscience, Thought and Religion|Violation of Right to Health|Violation of Freedom of Expression|Violation of Right to Health|Violation of Freedom of Expression|Violation of the Right to a Fair Trial|Violation of the Right to Freedom of Conscience, Thought and Religion|Forced Labour|Torture & CID|Torture & CID",1,0,1,1,1,1,1,1,0,0,0
"583","det-A2043","perp-A2034","01/11/2015","31/12/2015",2015,2015,"Children","10-19","Male","Unknown","Violation of the Rights of Children_A2043","Hyesan City MSS  Detention Centre","Ryanggang","Ministry of State Security","Detention Centre",1,1,"North Korean","Ministry of State Security","50-59","Captain (taewi)","Hyesan City MSS  Detention Centre","Ryanggang","Detention Centre",1,"Violation of the Rights of Children",0,0,0,0,0,0,0,0,1,0,0
"584","det-A0606","perp-A0613","01/10/2018","31/10/2018",2018,2018,"Women","40-49","Female","Unknown","Arbitrary Deprivation of Liberty_A0606|Violation of the Right to Freedom of Conscience, Thought and Religion_A0606|Torture & CID_A0606","Hyesan City MPS Waiting Room","Ryanggang","Ministry of People's Security","Waiting Room",1,1,"North Korean","Ministry of People’s Security","30-39","Captain (taewi)","Hyesan City MPS Waiting Room","Ryanggang","Waiting Room",1,"Arbitrary Deprivation of Liberty|Violation of the Right to Freedom of Conscience, Thought and Religion|Torture & CID",1,0,1,0,0,0,1,0,0,0,0
"585","det-A0605","perp-A0612","01/06/2015","31/07/2016",2015,2016,"Women","40-49","Female","Unknown","Arbitrary Deprivation of Liberty_A0605|Violation of the Right to Freedom of Conscience, Thought and Religion_A0605|Torture & CID_A0605|Violation of Right to Health_A0605","Ryanggang Provincial MPS Detention Centre","Ryanggang","Ministry of People's Security","Detention Centre",1,3,"North Korean","Ministry of People’s Security","Unknown","Unknown","Ryanggang Provincial MPS Detention Centre","Ryanggang","Detention Centre",1,"Arbitrary Deprivation of Liberty|Violation of the Right to Freedom of Conscience, Thought and Religion|Torture & CID|Violation of Right to Health",1,0,1,0,1,0,1,0,0,0,0
"586","det-A0602","perp-A0612","01/05/2015","30/06/2016",2015,2016,"Women","40-49","Female","Death in custody","Violation of Right to Health_A0602|Torture & CID_A0602|Violation of the Right to Life_A0602","Ryanggang Provincial MPS Detention Centre","Ryanggang","Ministry of People's Security","Detention Centre",1,2,"North Korean","Ministry of People’s Security","Unknown","Unknown","Ryanggang Provincial MPS Detention Centre","Ryanggang","Detention Centre",1,"Violation of Right to Health|Torture & CID|Violation of the Right to Life",0,0,1,0,1,0,0,0,0,1,0
"587","det-A2033","perp-A2037","01/11/2015","31/12/2015",2015,2015,"Women","20-29","Female","Released from all facilities","Violation of Freedom of Expression_A2033|Torture & CID_A2033|Violation of the Right to Freedom of Conscience, Thought and Religion_A2033|Violation of the Right to a Fair Trial_A2033|Violation of Right to Health_A2033|Rape & Other Forms of Sexual Violence_A2033|Arbitrary Deprivation of Liberty_A2033","Hyesan City MSS  Detention Centre","Ryanggang","Ministry of State Security","Detention Centre",1,1,"North Korean","Ministry of State Security","50-59","Other","Hyesan City MSS  Detention Centre","Ryanggang","Detention Centre",1,"Violation of Freedom of Expression|Torture & CID|Violation of the Right to Freedom of Conscience, Thought and Religion|Violation of the Right to a Fair Trial|Violation of Right to Health|Rape & Other Forms of Sexual Violence|Arbitrary Deprivation of Liberty",1,1,1,1,1,1,1,0,0,0,0
"588","det-A2033","perp-A2036","01/11/2015","31/12/2015",2015,2015,"Women","20-29","Female","Released from all facilities","Violation of Freedom of Expression_A2033|Torture & CID_A2033|Violation of the Right to Freedom of Conscience, Thought and Religion_A2033|Violation of the Right to a Fair Trial_A2033|Violation of Right to Health_A2033|Rape & Other Forms of Sexual Violence_A2033|Arbitrary Deprivation of Liberty_A2033","Hyesan City MSS  Detention Centre","Ryanggang","Ministry of State Security","Detention Centre",1,1,"North Korean","Ministry of State Security","30-39","Senior Lieutenant (sangwi)","Hyesan City MSS  Detention Centre","Ryanggang","Detention Centre",1,"Violation of Freedom of Expression|Torture & CID|Violation of the Right to Freedom of Conscience, Thought and Religion|Violation of the Right to a Fair Trial|Violation of Right to Health|Rape & Other Forms of Sexual Violence|Arbitrary Deprivation of Liberty",1,1,1,1,1,1,1,0,0,0,0
"589","det-A2033","perp-A2035","01/11/2015","31/12/2015",2015,2015,"Women","20-29","Female","Released from all facilities","Violation of Freedom of Expression_A2033|Torture & CID_A2033|Violation of the Right to Freedom of Conscience, Thought and Religion_A2033|Violation of the Right to a Fair Trial_A2033|Violation of Right to Health_A2033|Rape & Other Forms of Sexual Violence_A2033|Arbitrary Deprivation of Liberty_A2033","Hyesan City MSS  Detention Centre","Ryanggang","Ministry of State Security","Detention Centre",1,1,"North Korean","Ministry of State Security","30-39","Senior Lieutenant (sangwi)","Hyesan City MSS  Detention Centre","Ryanggang","Detention Centre",1,"Violation of Freedom of Expression|Torture & CID|Violation of the Right to Freedom of Conscience, Thought and Religion|Violation of the Right to a Fair Trial|Violation of Right to Health|Rape & Other Forms of Sexual Violence|Arbitrary Deprivation of Liberty",1,1,1,1,1,1,1,0,0,0,0
"590","det-A2033","perp-A2040","01/11/2015","31/12/2015",2015,2015,"Women","20-29","Female","Released from all facilities","Violation of Freedom of Expression_A2033|Torture & CID_A2033|Violation of the Right to Freedom of Conscience, Thought and Religion_A2033|Violation of the Right to a Fair Trial_A2033|Violation of Right to Health_A2033|Rape & Other Forms of Sexual Violence_A2033|Arbitrary Deprivation of Liberty_A2033","Hyesan City MSS  Detention Centre","Ryanggang","Ministry of State Security","Detention Centre",1,1,"North Korean","Ministry of State Security","50-59","Unknown","Hyesan City MSS  Detention Centre","Ryanggang","Detention Centre",1,"Violation of Freedom of Expression|Torture & CID|Violation of the Right to Freedom of Conscience, Thought and Religion|Violation of the Right to a Fair Trial|Violation of Right to Health|Rape & Other Forms of Sexual Violence|Arbitrary Deprivation of Liberty",1,1,1,1,1,1,1,0,0,0,0
"591","det-A2033","perp-A2039","01/11/2015","31/12/2015",2015,2015,"Women","20-29","Female","Released from all facilities","Violation of Freedom of Expression_A2033|Torture & CID_A2033|Violation of the Right to Freedom of Conscience, Thought and Religion_A2033|Violation of the Right to a Fair Trial_A2033|Violation of Right to Health_A2033|Rape & Other Forms of Sexual Violence_A2033|Arbitrary Deprivation of Liberty_A2033","Hyesan City MSS  Detention Centre","Ryanggang","Ministry of State Security","Detention Centre",1,1,"North Korean","Ministry of State Security","40-49","Senior Lieutenant (sangwi)","Hyesan City MSS  Detention Centre","Ryanggang","Detention Centre",1,"Violation of Freedom of Expression|Torture & CID|Violation of the Right to Freedom of Conscience, Thought and Religion|Violation of the Right to a Fair Trial|Violation of Right to Health|Rape & Other Forms of Sexual Violence|Arbitrary Deprivation of Liberty",1,1,1,1,1,1,1,0,0,0,0
"592","det-A2033","perp-A2038","01/11/2015","31/12/2015",2015,2015,"Women","20-29","Female","Released from all facilities","Violation of Freedom of Expression_A2033|Torture & CID_A2033|Violation of the Right to Freedom of Conscience, Thought and Religion_A2033|Violation of the Right to a Fair Trial_A2033|Violation of Right to Health_A2033|Rape & Other Forms of Sexual Violence_A2033|Arbitrary Deprivation of Liberty_A2033","Hyesan City MSS  Detention Centre","Ryanggang","Ministry of State Security","Detention Centre",1,1,"North Korean","Ministry of State Security","40-49","Senior Lieutenant (sangwi)","Hyesan City MSS  Detention Centre","Ryanggang","Detention Centre",1,"Violation of Freedom of Expression|Torture & CID|Violation of the Right to Freedom of Conscience, Thought and Religion|Violation of the Right to a Fair Trial|Violation of Right to Health|Rape & Other Forms of Sexual Violence|Arbitrary Deprivation of Liberty",1,1,1,1,1,1,1,0,0,0,0
"593","det-A0601","perp-A0613","01/10/2009","31/10/2009",2009,2009,"Women","30-39","Female","Released from all facilities","Arbitrary Deprivation of Liberty_1_A0601|Violation of Freedom of Expression_A0601|Violation of Right to Health_1_A0601|Torture & CID_1_A0601","Hyesan City Labour Training Centre|Ryanggang Provincial MSS Holding Centre|Hyesan City MPS Detention Centre|Ryanggang Provincial MPS Detention Centre|Ryanggang Provincial Prosecutor's Office|Hyesan City MPS Waiting Room|Hyesan City MSS  Detention Centre","Ryanggang|Ryanggang|Ryanggang|Ryanggang|Ryanggang|Ryanggang|Ryanggang","People's Committee of North Korea|Ministry of State Security|Ministry of People's Security|Ministry of People's Security|Other North Korean government organisation|Ministry of People's Security|Ministry of State Security","Labour Training Centre|Holding Centre|Detention Centre|Detention Centre|Temporary Detention Facility::Office|Waiting Room|Detention Centre",1,2,"North Korean","Ministry of People’s Security","30-39","Captain (taewi)","Hyesan City MPS Waiting Room","Ryanggang","Waiting Room",1,"Arbitrary Deprivation of Liberty|Violation of Freedom of Expression|Violation of Right to Health|Torture & CID",1,0,1,1,1,0,0,0,0,0,0
"594","det-A0601","perp-A0612","01/10/2009","31/10/2009",2009,2009,"Women","30-39","Female","Released from all facilities","Arbitrary Deprivation of Liberty_1_A0601|Violation of Freedom of Expression_A0601|Violation of Right to Health_1_A0601|Torture & CID_1_A0601","Hyesan City Labour Training Centre|Ryanggang Provincial MSS Holding Centre|Hyesan City MPS Detention Centre|Ryanggang Provincial MPS Detention Centre|Ryanggang Provincial Prosecutor's Office|Hyesan City MPS Waiting Room|Hyesan City MSS  Detention Centre","Ryanggang|Ryanggang|Ryanggang|Ryanggang|Ryanggang|Ryanggang|Ryanggang","People's Committee of North Korea|Ministry of State Security|Ministry of People's Security|Ministry of People's Security|Other North Korean government organisation|Ministry of People's Security|Ministry of State Security","Labour Training Centre|Holding Centre|Detention Centre|Detention Centre|Temporary Detention Facility::Office|Waiting Room|Detention Centre",1,1,"North Korean","Ministry of People’s Security","Unknown","Unknown","Ryanggang Provincial MPS Detention Centre","Ryanggang","Detention Centre",1,"Arbitrary Deprivation of Liberty|Violation of Freedom of Expression|Violation of Right to Health|Torture & CID",1,0,1,1,1,0,0,0,0,0,0
"595","det-A0601","perp-A0611","01/10/2009","31/10/2009",2009,2009,"Women","30-39","Female","Released from all facilities","Arbitrary Deprivation of Liberty_1_A0601|Violation of Freedom of Expression_A0601|Violation of Right to Health_1_A0601|Torture & CID_1_A0601","Hyesan City Labour Training Centre|Ryanggang Provincial MSS Holding Centre|Hyesan City MPS Detention Centre|Ryanggang Provincial MPS Detention Centre|Ryanggang Provincial Prosecutor's Office|Hyesan City MPS Waiting Room|Hyesan City MSS  Detention Centre","Ryanggang|Ryanggang|Ryanggang|Ryanggang|Ryanggang|Ryanggang|Ryanggang","People's Committee of North Korea|Ministry of State Security|Ministry of People's Security|Ministry of People's Security|Other North Korean government organisation|Ministry of People's Security|Ministry of State Security","Labour Training Centre|Holding Centre|Detention Centre|Detention Centre|Temporary Detention Facility::Office|Waiting Room|Detention Centre",1,1,"North Korean","Provincial/City-level Court","40-49","Unknown","Ryanggang Provincial MPS Detention Centre","Ryanggang","Detention Centre",1,"Arbitrary Deprivation of Liberty|Violation of Freedom of Expression|Violation of Right to Health|Torture & CID",1,0,1,1,1,0,0,0,0,0,0
