Title,Date added,Template,Vulnerable Population?,Age Range,Named Detainee,Gender,Status,Event 1 Date Range,Event 1 Violations,Event 2 Date Range,Event 2 Violations,Event 3 Date Range,Event 3 Violation,Related Penal Facilities,Province Where the Penal Facility is Located,Penal Facility Affiliation,Related Type of Penal Facility,Documents,Attachments,Published
A1713,20/12/2022,Detainees,N/A,20-29,Named,Male,Released from all facilities,01/05/2018~31/01/2019,"Arbitrary Deprivation of Liberty_A1713|Violation of Freedom of Expression_1_A1713|Violation of Freedom of Expression_3_A1713|Violation of Freedom of Expression_2_A1713|Violation of Right to Health_1_A1713|Violation of Freedom of Expression_4_A1713|Violation of Right to Health_3_A1713|Violation of Right to Health_2_A1713|Violation of Right to Health_4_A1713|Violation of the Right to Freedom of Conscience, Thought and Religion_1_A1713|Violation of the Right to Freedom of Conscience, Thought and Religion_2_A1713|Violation of the Right to Freedom of Conscience, Thought and Religion_3_A1713|Violation of the Right to Freedom of Conscience, Thought and Religion_4_A1713|Violation of the Right to a Fair Trial_A1713|Forced Labour_1_A1713|Forced Labour_2_A1713|Torture & CID_1_A1713|Torture & CID_2_A1713|Torture & CID_3_A1713|Torture & CID_4_A1713",,,,,"North Pyongan Provincial MPS Holding Centre |North Pyongan Provincial MSS Detention Centre|Sindo County Labour Training Centre|Sindo County MPS Detention Centre","North Pyongan|North Pyongan|North Pyongan|North Pyongan","Ministry of People's Security|Ministry of State Security|People's Committee of North Korea|Ministry of People's Security","Holding Centre|Detention Centre|Labour Training Centre|Detention Centre",,,Published
A1677,19/12/2022,Detainees,N/A,20-29,Unnamed,Male,Unknown,01/05/2012~28/02/2013,"Arbitrary Deprivation of Liberty_A1677|Violation of the Right to a Fair Trial_A1677|Torture & CID_A1677",,,,,"Hoeryong City MSS Detention Centre|North Hamgyong Provincial MSS Holding Centre|Kimchaek City MPS Waiting Room|Kimchaek City Labour Training Centre","North Hamgyong|North Hamgyong|North Hamgyong|North Hamgyong","Ministry of State Security|Ministry of State Security|Ministry of People's Security|People's Committee of North Korea","Detention Centre|Holding Centre|Waiting Room|Labour Training Centre",,,Published
A1676,19/12/2022,Detainees,Women,40-49,Named,Female,Released from all facilities,01/05/2009~29/02/2012,"Arbitrary Deprivation of Liberty_1_A1676|Violation of Freedom of Expression_3_A1676|Violation of Freedom of Expression_4_A1676|Violation of Freedom of Expression_1_A1676|Violation of Right to Health_3_A1676|Violation of Right to Health_2_A1676|Violation of Right to Health_1_A1676|Violation of Freedom of Expression_2_A1676|Violation of the Right to Freedom of Conscience, Thought and Religion_1_A1676|Violation of the Right to Freedom of Conscience, Thought and Religion_2_A1676|Violation of the Right to Freedom of Conscience, Thought and Religion_3_A1676|Violation of the Right to Freedom of Conscience, Thought and Religion_4_A1676|Violation of the Right to a Fair Trial_1_A1676|Forced Labour_1_A1676|Rape & Other Forms of Sexual Violence_1_A1676|Rape & Other Forms of Sexual Violence_2_A1676|Torture & CID_1_A1676|Torture & CID_2_A1676|Torture & CID_3_A1676|Torture & CID_4_A1676|Violation of Right to Health_4_A1676",01/05/2012~28/02/2013,"Arbitrary Deprivation of Liberty_2_A1676|Violation of Freedom of Expression_5_A1676|Violation of Freedom of Expression_7_A1676|Violation of Freedom of Expression_8_A1676|Violation of Right to Health_6_A1676|Violation of Right to Health_7_A1676|Violation of Right to Health_5_A1676|Violation of Freedom of Expression_6_A1676|Violation of Right to Health_8_A1676|Violation of the Right to Freedom of Conscience, Thought and Religion_5_A1676|Violation of the Right to Freedom of Conscience, Thought and Religion_6_A1676|Violation of the Right to Freedom of Conscience, Thought and Religion_7_A1676|Violation of the Right to Freedom of Conscience, Thought and Religion_8_A1676|Violation of the Right to a Fair Trial_2_A1676|Forced Labour_2_A1676|Forced Labour_3_A1676|Rape & Other Forms of Sexual Violence_3_A1676|Rape & Other Forms of Sexual Violence_4_A1676|Torture & CID_8_A1676|Torture & CID_5_A1676|Torture & CID_7_A1676|Torture & CID_6_A1676",,,"Hoeryong City MSS Detention Centre|Onsong County MPS Detention Centre|Chongori Re-education Camp|Kimchaek City MPS Waiting Room|Kimchaek City Labour Training Centre|North Hamgyong Provincial MPS Holding Centre (Nongpo)","North Hamgyong|North Hamgyong|North Hamgyong|North Hamgyong|North Hamgyong|North Hamgyong","Ministry of State Security|Ministry of People's Security|Ministry of People's Security|Ministry of People's Security|People's Committee of North Korea|Ministry of People's Security","Detention Centre|Detention Centre|Re-education Camp |Waiting Room|Labour Training Centre|Holding Centre",,,Published
A1490,19/12/2022,Detainees,Women,20-29,Named,Female,Unknown,01/03/2002~31/07/2002,Arbitrary Deprivation of Liberty_A1490,,,,,"Onsong County MSS Detention Centre|North Hamgyong Provincial MPS Holding Centre (Nongpo)","North Hamgyong|North Hamgyong","Ministry of State Security|Ministry of People's Security","Detention Centre|Holding Centre",,,Published
A1489,19/12/2022,Detainees,"Women|Children",10-19,Named,Female,Released from all facilities,01/03/2002~31/07/2002,"Arbitrary Deprivation of Liberty_A1489|Violation of Right to Health_A1489|Violation of the Rights of Children_2_A1489|Violation of the Rights of Children_1_A1489|Torture & CID_A1489",,,,,"Onsong County MSS Detention Centre|North Hamgyong Provincial MPS Holding Centre (Nongpo)","North Hamgyong|North Hamgyong","Ministry of State Security|Ministry of People's Security","Detention Centre|Holding Centre",,,Published
A1488,19/12/2022,Detainees,Women,30-39,Unnamed,Female,Unknown,01/03/2002~30/06/2002,"Rape & Other Forms of Sexual Violence_A1488|Sexual and Gender-based Violence_A1488",,,,,Onsong County MSS Detention Centre,North Hamgyong,Ministry of State Security,Detention Centre,,,Published
A1487,19/12/2022,Detainees,Women,40-49,Unnamed,Female,Unknown,01/03/2002~30/06/2002,"Torture & CID_A1487|Arbitrary Deprivation of Liberty_A1487",,,,,Onsong County MSS Detention Centre,North Hamgyong,Ministry of State Security,Detention Centre,,,Published
A1486,19/12/2022,Detainees,Women,50-59,Named,Female,Released from all facilities,01/03/2002~31/07/2002,"Violation of Freedom of Expression_1_A1486|Arbitrary Deprivation of Liberty_A1486|Violation of Freedom of Expression_2_A1486|Violation of Right to Health_1_A1486|Violation of Right to Health_2_A1486|Violation of the Right to a Fair Trial_A1486|Violation of the Right to Freedom of Conscience, Thought and Religion_2_A1486|Violation of the Right to Freedom of Conscience, Thought and Religion_1_A1486|Forced Labour_A1486|Rape & Other Forms of Sexual Violence_A1486|Torture & CID_1_A1486|Torture & CID_2_A1486|Sexual and Gender-based Violence_A1486",,,,,"Onsong County MSS Detention Centre|North Hamgyong Provincial MPS Holding Centre (Nongpo)|Onsong County MPS Detention Centre","North Hamgyong|North Hamgyong|North Hamgyong","Ministry of State Security|Ministry of People's Security|Ministry of People's Security","Detention Centre|Holding Centre|Detention Centre",,,Published
A1739,19/12/2022,Detainees,Women,40-49,Partially named,Female,Death in custody,01/05/2008~31/05/2008,"Violation of Right to Health_A1739|Torture & CID_A1739|Violation of the Right to Life_A1739|Forced Labour_A1739",,,,,Hoeryong City Labour Training Centre,North Hamgyong,People's Committee of North Korea,Labour Training Centre,,,Published
A1738,19/12/2022,Detainees,Women,30-39,Named,Female,Released from all facilities,01/11/2007~31/05/2008,"Arbitrary Deprivation of Liberty_A1738|Violation of Freedom of Expression_A1738|Violation of Right to Health_1_A1738|Violation of Right to Health_3_A1738|Violation of the Right to a Fair Trial_A1738|Forced Labour_A1738|Rape & Other Forms of Sexual Violence_A1738|Violation of Right to Health_2_A1738|Torture & CID_1_A1738|Torture & CID_2_A1738|Torture & CID_3_A1738",,,,,"Hoeryong City MPS Detention Centre|Sinuiju City MSS Detention Centre|Hoeryong City Hongsan-ri MPS Sub-municipal Station Office|Hoeryong City Labour Training Centre","North Hamgyong|North Pyongan|North Hamgyong|North Hamgyong","Ministry of People's Security|Ministry of State Security|Ministry of People's Security|People's Committee of North Korea","Detention Centre|Detention Centre|Temporary Detention Facility::Office|Labour Training Centre",,,Published
A1906,19/12/2022,Detainees,N/A,20-29,Unnamed,Male,Released from all facilities,01/10/2013~31/10/2013,"Violation of Freedom of Expression_A1906|Violation of Right to Health_A1906|Torture & CID_A1906",,,,,Hoeryong City Korean People's Army Regiment Detention Centre,North Hamgyong,Korean People’s Army,Detention Centre,,,Published
A1905,19/12/2022,Detainees,N/A,30-39,Unnamed,Male,Released from all facilities,01/06/2013~31/07/2013,"Arbitrary Deprivation of Liberty_1_A1905|Violation of Freedom of Expression_1_A1905|Violation of Right to Health_1_A1905|Torture & CID_1_A1905",01/10/2013~31/10/2013,"Arbitrary Deprivation of Liberty_2_A1905|Torture & CID_2_A1905|Violation of Freedom of Expression_2_A1905|Violation of Right to Health_2_A1905",01/08/2014~31/10/2014,"Violation of Right to Health_3_A1905|Violation of Freedom of Expression_3_A1905|Arbitrary Deprivation of Liberty_3_A1905|Torture & CID_3_A1905","Hoeryong City MPS Waiting Room
|Hoeryong City Military Security Command Outpost","North Hamgyong|North Hamgyong","Ministry of People's Security|Military Security Command","Waiting Room|Temporary Detention Facility::Other",,,Published
A2031,15/12/2022,Detainees,"Women|Pregnant Women",20-29,Unnamed,Female,Unknown,01/06/2000~30/06/2000,"Torture & CID_A2031|Sexual and Gender-based Violence_A2031",,,,,North Hamgyong Provincial MPS Holding Centre (Nongpo),North Hamgyong,Ministry of People's Security,Holding Centre,,,Published
A2030,15/12/2022,Detainees,"Women|Pregnant Women",20-29,Unnamed,Female,Unknown,01/06/2000~30/06/2000,"Torture & CID_A2030|Sexual and Gender-based Violence_A2030",,,,,North Hamgyong Provincial MPS Holding Centre (Nongpo),North Hamgyong,Ministry of People's Security,Holding Centre,,,Published
A2029,15/12/2022,Detainees,"Women|Pregnant Women",20-29,Unnamed,Female,Unknown,01/06/2000~30/06/2000,"Torture & CID_A2029|Sexual and Gender-based Violence_A2029",,,,,North Hamgyong Provincial MPS Holding Centre (Nongpo),North Hamgyong,Ministry of People's Security,Holding Centre,,,Published
A2028,15/12/2022,Detainees,Children,0-9,Unnamed,Unknown,Deceased,01/06/2000~30/06/2000,Violation of the Right to Life_A2028,,,,,North Hamgyong Provincial MPS Holding Centre (Nongpo),North Hamgyong,Ministry of People's Security,Holding Centre,,,Published
A2027,15/12/2022,Detainees,Women,50-59,Named,Female,Deceased,01/06/2000~30/06/2000,"Violation of the Right to Life_A2027|Torture & CID_A2027|Violation of Right to Health_A2027",,,,,North Hamgyong Provincial MPS Holding Centre (Nongpo),North Hamgyong,Ministry of People's Security,Holding Centre,,,Published
A2026,15/12/2022,Detainees,Children,10-19,Unnamed,Male,Unknown,01/06/2000~30/06/2000,"Violation of Right to Health_A2026|Violation of the Rights of Children_A2026|Torture & CID_A2026",,,,,North Hamgyong Provincial MPS Holding Centre (Nongpo),North Hamgyong,Ministry of People's Security,Holding Centre,,,Published
A2025,15/12/2022,Detainees,Children,0-9,Named,Male,Deceased,01/06/2000~30/06/2000,"Violation of Right to Health_A2025|Violation of the Rights of Children_A2025|Violation of the Right to Life_A2025|Torture & CID_A2025",,,,,North Hamgyong Provincial MPS Holding Centre (Nongpo),North Hamgyong,Ministry of People's Security,Holding Centre,,,Published
A1772,15/12/2022,Detainees,"Women|Children",10-19,Partially named,Female,Unknown,01/04/2014~30/04/2017,Violation of the Rights of Children_A1772,,,,,Kaechon Re-education Camp,South Pyongan,Ministry of People's Security,Re-education Camp ,,,Published
A1771,15/12/2022,Detainees,Women,50-59,Unnamed,Female,Death in custody,01/04/2014~30/04/2017,"Violation of the Right to Life_A1771|Forced Labour_A1771",,,,,Kaechon Re-education Camp,South Pyongan,Ministry of People's Security,Re-education Camp ,,,Published
A1770,15/12/2022,Detainees,N/A,40-49,Named,Male,Unknown,01/04/2013~31/05/2013,Torture & CID_A1770,,,,,Ryanggang Provincial MSS Holding Centre,Ryanggang,Ministry of State Security,Holding Centre,,,Published
A2024,14/12/2022,Detainees,Women,30-39,Unnamed,Female,Released from all facilities,01/04/2000~30/06/2000,"Violation of Freedom of Expression_1_A2024|Violation of Freedom of Expression_3_A2024|Violation of Right to Health_1_A2024|Violation of Right to Health_2_A2024|Violation of Freedom of Expression_2_A2024|Violation of Right to Health_3_A2024|Arbitrary Deprivation of Liberty_A2024|Forced Labour_A2024|Torture & CID_1_A2024|Torture & CID_2_A2024|Torture & CID_3_A2024",,,,,"Musan County MSS Detention Centre|Musan County Labour Training Centre|North Hamgyong Provincial MPS Holding Centre (Nongpo)","North Hamgyong|North Hamgyong|North Hamgyong","Ministry of State Security|People's Committee of North Korea|Ministry of People's Security","Detention Centre|Labour Training Centre|Holding Centre",,,Published
A1769,14/12/2022,Detainees,Women,30-39,Named,Female,Released from all facilities,01/04/2013~30/04/2017,"Violation of Freedom of Expression_1_A1769|Violation of Freedom of Expression_5_A1769|Violation of Freedom of Expression_3_A1769|Violation of Freedom of Expression_4_A1769|Arbitrary Deprivation of Liberty_A1769|Violation of Freedom of Expression_6_A1769|Violation of Freedom of Expression_2_A1769|Violation of Right to Health_1_A1769|Violation of Right to Health_2_A1769|Violation of Right to Health_3_A1769|Violation of Right to Health_4_A1769|Violation of Right to Health_5_A1769|Violation of Right to Health_6_A1769|Violation of the Right to Freedom of Conscience, Thought and Religion_1_A1769|Violation of the Right to Freedom of Conscience, Thought and Religion_2_A1769|Violation of the Right to Freedom of Conscience, Thought and Religion_3_A1769|Violation of the Right to Freedom of Conscience, Thought and Religion_4_A1769|Violation of the Right to Freedom of Conscience, Thought and Religion_5_A1769|Violation of the Right to Freedom of Conscience, Thought and Religion_6_A1769|Forced Labour_1_A1769|Forced Labour_2_A1769|Rape & Other Forms of Sexual Violence_A1769|Torture & CID_1_A1769|Torture & CID_2_A1769|Torture & CID_3_A1769|Torture & CID_4_A1769|Torture & CID_5_A1769|Violation of the Right to a Fair Trial_A1769|Torture & CID_6_A1769",,,,,"Ryanggang Provincial MSS Holding Centre|Hyesan City MPS Waiting Room|Hyesan City MPS Detention Centre|Kaechon Re-education Camp|Ryanggang Provincial MPS Detention Centre|Ryanggang Provincial MPS Holding Centre","Ryanggang|Ryanggang|Ryanggang|South Pyongan|Ryanggang|Ryanggang","Ministry of State Security|Ministry of People's Security|Ministry of People's Security|Ministry of People's Security|Ministry of People's Security|Ministry of People's Security","Holding Centre|Waiting Room|Detention Centre|Re-education Camp |Detention Centre|Holding Centre",,,Published
A1711,14/12/2022,Detainees,N/A,30-39,Partially named,Male,Unknown,01/02/2005~30/04/2005,Torture & CID_A1711,,,,,Onsong County Labour Training Centre,North Hamgyong,People's Committee of North Korea,Labour Training Centre,,,Published
A1708,14/12/2022,Detainees,N/A,40-49,Unnamed,Male,Unknown,01/10/2005~30/11/2005,"Arbitrary Deprivation of Liberty_A1708|Violation of Right to Health_A1708",,,,,North Hamgyong Provincial MPS Holding Centre (Nongpo),North Hamgyong,Ministry of People's Security,Holding Centre,,,Published
A1706,14/12/2022,Detainees,N/A,20-29,Unnamed,Male,Death in custody,01/10/2005~30/11/2005,Violation of the Right to Life_A1706,,,,,North Hamgyong Provincial MPS Holding Centre (Nongpo),North Hamgyong,Ministry of People's Security,Holding Centre,,,Published
A1705,14/12/2022,Detainees,N/A,30-39,Unnamed,Male,Death in custody,01/10/2005~30/11/2005,Violation of the Right to Life_A1705,,,,,North Hamgyong Provincial MPS Holding Centre (Nongpo),North Hamgyong,Ministry of People's Security,Holding Centre,,,Published
A1704,14/12/2022,Detainees,Women,20-29,Named,Female,Unknown,01/10/2007~30/11/2007,Arbitrary Deprivation of Liberty_A1704,,,,,Onsong County MSS Detention Centre,North Hamgyong,Ministry of State Security,Detention Centre,,,Published
A1703,14/12/2022,Detainees,Women,20-29,Unnamed,Female,Unknown,01/10/2007~30/11/2007,Arbitrary Deprivation of Liberty_A1703,,,,,Onsong County MSS Detention Centre,North Hamgyong,Ministry of State Security,Detention Centre,,,Published
A1702,14/12/2022,Detainees,Women,20-29,Named,Female,Unknown,01/10/2007~30/11/2007,Arbitrary Deprivation of Liberty_A1702,,,,,Onsong County MSS Detention Centre,North Hamgyong,Ministry of State Security,Detention Centre,,,Published
A1701,14/12/2022,Detainees,Women,20-29,Named,Female,Unknown,01/10/2007~30/11/2007,Arbitrary Deprivation of Liberty_A1701,,,,,Onsong County MSS Detention Centre,North Hamgyong,Ministry of State Security,Detention Centre,,,Published
A1700,14/12/2022,Detainees,Women,30-39,Unnamed,Female,Unknown,01/10/2007~30/11/2007,Arbitrary Deprivation of Liberty_A1700,,,,,Onsong County MSS Detention Centre,North Hamgyong,Ministry of State Security,Detention Centre,,,Published
A1699,14/12/2022,Detainees,Women,30-39,Named,Female,Unknown,01/10/2007~30/11/2007,Arbitrary Deprivation of Liberty_A1699,,,,,Onsong County MSS Detention Centre,North Hamgyong,Ministry of State Security,Detention Centre,,,Published
A1724,13/12/2022,Detainees,Women,30-39,Partially named,Female,Unknown,01/01/2007~31/01/2007,"Rape & Other Forms of Sexual Violence_A1724|Sexual and Gender-based Violence_A1724",,,,,Kimhyongjik (Huchang) County MPS Detention Centre,Ryanggang,Ministry of People's Security,Detention Centre,,,Published
A1723,13/12/2022,Detainees,N/A,60-69,Named,Male,Released from all facilities,01/03/2004~30/04/2004,"Arbitrary Deprivation of Liberty_A1723|Violation of Right to Health_A1723",,,,,"Kimhyongjik (Huchang) County MSS Waiting Room|Kimhyongjik (Huchang) County MPS Office","Ryanggang|Ryanggang","Ministry of State Security|Ministry of People's Security","Waiting Room|Temporary Detention Facility::Office",,,Published
A1722,13/12/2022,Detainees,N/A,30-39,Named,Male,Released from all facilities,01/03/2004~30/04/2004,"Arbitrary Deprivation of Liberty_A1722|Violation of Right to Health_A1722",,,,,"Kimhyongjik (Huchang) County MSS Waiting Room|Kimhyongjik (Huchang) County MPS Office","Ryanggang|Ryanggang","Ministry of State Security|Ministry of People's Security","Waiting Room|Temporary Detention Facility::Office",,,Published
A1721,13/12/2022,Detainees,Women,40-49,Named,Female,Released from all facilities,01/03/2004~30/04/2004,"Arbitrary Deprivation of Liberty_1_A1721|Violation of Right to Health_2_A1721|Violation of Freedom of Expression_2_A1721|Violation of the Right to Freedom of Conscience, Thought and Religion_1_A1721|Violation of Right to Health_1_A1721|Violation of Freedom of Expression_1_A1721|Violation of the Right to Freedom of Conscience, Thought and Religion_2_A1721|Violation of the Right to a Fair Trial_1_A1721",01/01/2007~31/01/2007,"Arbitrary Deprivation of Liberty_2_A1721|Violation of Freedom of Expression_3_A1721|Violation of Right to Health_3_A1721|Violation of the Right to Freedom of Conscience, Thought and Religion_3_A1721|Violation of the Right to a Fair Trial_2_A1721",,,"Kimhyongjik (Huchang) County MSS Waiting Room|Kimhyongjik (Huchang) County MPS Office|Kimhyongjik (Huchang) County MPS Detention Centre","Ryanggang|Ryanggang|Ryanggang","Ministry of State Security|Ministry of People's Security|Ministry of People's Security","Waiting Room|Temporary Detention Facility::Office|Detention Centre",,,Published
A1752,13/12/2022,Detainees,Children,10-19,Unnamed,Male,Death in custody,01/06/2013~31/07/2013,"Violation of Right to Health_A1752|Violation of the Right to Life_A1752|Forced Labour_A1752|Torture & CID_A1752",,,,,North Pyongan Provincial MPS Holding Centre ,North Pyongan,Ministry of People's Security,Holding Centre,,,Published
A1751,13/12/2022,Detainees,"Women|Children",10-19,Unnamed,Female,Unknown,01/06/2013~31/07/2013,"Forced Labour_A1751|Violation of Right to Health_A1751|Violation of the Rights of Children_A1751|Torture & CID_A1751",,,,,North Pyongan Provincial MPS Holding Centre ,North Pyongan,Ministry of People's Security,Holding Centre,,,Published
A1750,13/12/2022,Detainees,"Women|Pregnant Women",20-29,Unnamed,Female,Unknown,01/06/2013~31/07/2013,"Forced Labour_A1750|Violation of Right to Health_A1750|Torture & CID_A1750",,,,,North Pyongan Provincial MPS Holding Centre ,North Pyongan,Ministry of People's Security,Holding Centre,,,Published
A1749,13/12/2022,Detainees,Women,50-59,Partially named,Female,Unknown,01/06/2013~31/07/2013,"Violation of Right to Health_A1749|Violation of the Right to Freedom of Conscience, Thought and Religion_A1749|Forced Labour_A1749|Torture & CID_A1749",,,,,North Pyongan Provincial MPS Holding Centre ,North Pyongan,Ministry of People's Security,Holding Centre,,,Published
A1748,13/12/2022,Detainees,Women,40-49,Named,Female,Unknown,01/06/2013~31/07/2013,"Forced Labour_A1748|Violation of Right to Health_A1748|Torture & CID_A1748|Rape & Other Forms of Sexual Violence_A1748|Sexual and Gender-based Violence_A1748",,,,,North Pyongan Provincial MPS Holding Centre ,North Pyongan,Ministry of People's Security,Holding Centre,,,Published
A1747,13/12/2022,Detainees,Women,30-39,Partially named,Female,Unknown,01/06/2013~31/07/2013,"Rape & Other Forms of Sexual Violence_A1747|Torture & CID_A1747|Forced Labour_A1747|Violation of Right to Health_A1747|Sexual and Gender-based Violence_A1747",,,,,North Pyongan Provincial MPS Holding Centre ,North Pyongan,Ministry of People's Security,Holding Centre,,,Published
A1746,13/12/2022,Detainees,Women,20-29,Named,Female,Unknown,01/06/2013~31/07/2013,"Forced Labour_A1746|Torture & CID_A1746|Violation of Right to Health_A1746|Rape & Other Forms of Sexual Violence_A1746|Sexual and Gender-based Violence_A1746",,,,,North Pyongan Provincial MPS Holding Centre ,North Pyongan,Ministry of People's Security,Holding Centre,,,Published
A1698,13/12/2022,Detainees,N/A,20-29,Named,Male,Released from all facilities,01/01/2005~31/05/2005,"Arbitrary Deprivation of Liberty_1_A1698|Torture & CID_1_A1698|Violation of the Right to a Fair Trial_1_A1698|Violation of the Right to Freedom of Conscience, Thought and Religion_1_A1698|Violation of the Right to Freedom of Conscience, Thought and Religion_2_A1698|Forced Labour_1_A1698",01/09/2005~30/11/2005,"Arbitrary Deprivation of Liberty_2_A1698|Violation of the Right to Freedom of Conscience, Thought and Religion_3_A1698|Violation of the Right to Freedom of Conscience, Thought and Religion_4_A1698|Violation of Right to Health_1_A1698|Violation of Right to Health_2_A1698|Violation of the Right to a Fair Trial_2_A1698|Forced Labour_2_A1698|Torture & CID_2_A1698|Torture & CID_3_A1698",01/10/2007~31/12/2007,"Arbitrary Deprivation of Liberty_3_A1698|Violation of the Right to Freedom of Conscience, Thought and Religion_5_A1698|Violation of the Right to a Fair Trial_3_A1698","Onsong County MSS Detention Centre|Hoeryong City Labour Training Centre|North Hamgyong Provincial MPS Holding Centre (Nongpo)|Hoeryong City Rural Construction Unit Facility (Nonggundae) |Hoeryong City Songhak-ri MPS Sub-municipal Station Office|Onsong County Labour Training Centre","North Hamgyong|North Hamgyong|North Hamgyong|North Hamgyong|North Hamgyong|North Hamgyong","Ministry of State Security|People's Committee of North Korea|Ministry of People's Security|Ministry of People's Security|Ministry of People's Security|People's Committee of North Korea","Detention Centre|Labour Training Centre|Holding Centre|Temporary Detention Facility::Other|Temporary Detention Facility::Office|Labour Training Centre",,,Published
A1745,13/12/2022,Detainees,Women,30-39,Named,Female,Released from all facilities,01/06/2015~31/07/2015,"Violation of Freedom of Expression_A1745|Violation of the Right to a Fair Trial_A1745|Violation of Right to Health_1_A1745|Forced Labour_A1745|Violation of Right to Health_2_A1745|Torture & CID_2_A1745|Arbitrary Deprivation of Liberty_A1745|Torture & CID_1_A1745|Sexual and Gender-based Violence_A1745",,,,,"Sinuiju City MSS Detention Centre|North Pyongan Provincial MPS Holding Centre ","North Pyongan|North Pyongan","Ministry of State Security|Ministry of People's Security","Detention Centre|Holding Centre",,,Published
A1741,13/12/2022,Detainees,Women,30-39,Named,Female,Released from all facilities,01/03/2009~31/03/2011,"Arbitrary Deprivation of Liberty_A1741|Violation of Freedom of Expression_A1741|Violation of the Right to Freedom of Conscience, Thought and Religion_A1741|Forced Labour_A1741|Violation of Right to Health_A1741|Violation of the Right to a Fair Trial_A1741|Torture & CID_A1741",,,,,North Hamgyong Provincial MPS Holding Centre (Nongpo),North Hamgyong,Ministry of People's Security,Holding Centre,,,Published
A1830,13/12/2022,Detainees,N/A,20-29,Unnamed,Male,Death in custody,01/12/2003~31/03/2004,Violation of the Right to Life_A1830,,,,,Onsong County Labour Training Centre,North Hamgyong,People's Committee of North Korea,Labour Training Centre,,,Published
A1829,13/12/2022,Detainees,N/A,50-59,Partially named,Male,Death in custody,01/12/2003~31/03/2004,Violation of the Right to Life_A1829,,,,,Onsong County Labour Training Centre,North Hamgyong,People's Committee of North Korea,Labour Training Centre,,,Published
A1828,13/12/2022,Detainees,"Women|Pregnant Women",20-29,Unnamed,Female,Unknown,01/11/2003~31/12/2003,"Torture & CID_A1828|Sexual and Gender-based Violence_A1828",,,,,Onsong County MSS Detention Centre,North Hamgyong,Ministry of State Security,Detention Centre,,,Published
A1827,13/12/2022,Detainees,"Women|Pregnant Women",30-39,Unnamed,Female,Unknown,01/11/2003~31/12/2003,"Torture & CID_A1827|Sexual and Gender-based Violence_A1827",,,,,Onsong County MSS Detention Centre,North Hamgyong,Ministry of State Security,Detention Centre,,,Published
A1826,13/12/2022,Detainees,Children,10-19,Named,Male,Unknown,01/11/2003~31/12/2003,"Torture & CID_A1826|Violation of the Rights of Children_A1826",,,,,Onsong County MSS Detention Centre,North Hamgyong,Ministry of State Security,Detention Centre,,,Published
A1825,13/12/2022,Detainees,Women,30-39,Named,Female,Released from all facilities,01/03/2003~30/04/2003,"Arbitrary Deprivation of Liberty_1_A1825|Torture & CID_1_A1825|Violation of Right to Health_1_A1825|Violation of Freedom of Expression_1_A1825|Violation of the Right to Freedom of Conscience, Thought and Religion_1_A1825",01/11/2003~31/03/2004,"Arbitrary Deprivation of Liberty_2_A1825|Torture & CID_2_A1825|Torture & CID_3_A1825|Violation of Right to Health_2_A1825|Violation of the Right to a Fair Trial_A1825|Violation of Right to Health_3_A1825|Violation of Right to Health_4_A1825|Violation of the Right to Freedom of Conscience, Thought and Religion_2_A1825|Violation of the Right to Freedom of Conscience, Thought and Religion_3_A1825|Violation of Freedom of Expression_2_A1825|Violation of Freedom of Expression_3_A1825|Violation of Freedom of Expression_4_A1825|Forced Labour_A1825|Violation of the Right to Freedom of Conscience, Thought and Religion_4_A1825",,,"Onsong County MSS Detention Centre|Onsong County Dongpo-gu MPS Sub-municipal Station Office|Onsong County Labour Training Centre","North Hamgyong|North Hamgyong|North Hamgyong","Ministry of State Security|Ministry of People's Security|People's Committee of North Korea","Detention Centre|Temporary Detention Facility::Office|Labour Training Centre",,,Published
A2017,12/12/2022,Detainees,Children,10-19,Named,Male,Released from all facilities,01/11/2001~31/12/2001,"Violation of Right to Health_A2017|Violation of Freedom of Expression_A2017|Violation of the Right to Freedom of Conscience, Thought and Religion_A2017|Violation of the Right to a Fair Trial_A2017|Forced Labour_A2017|Torture & CID_2_A2017|Torture & CID_1_A2017|Arbitrary Deprivation of Liberty_A2017",,,,,"Onsong County Labour Training Centre|Onsong County MSS Detention Centre","North Hamgyong|North Hamgyong","People's Committee of North Korea|Ministry of State Security","Labour Training Centre|Detention Centre",,,Published
A1804,12/12/2022,Detainees,Women,50-59,Unnamed,Female,Unknown,01/04/2017~31/05/2017,Torture & CID_A1804,,,,,Hyesan City MSS  Detention Centre,Ryanggang,Ministry of State Security,Detention Centre,,,Published
